Id,AC#,Artist,Title,Date,Medium,Dimensions,Category
2429,661653,"THOMAS, Cheryl","Whitman Dam [polyptych, 5 parts]",n.d.,"watercolour on paper","sight: [1] 54.5 x 73 cm / 21 1/2"" x 28 3/4""; [2] 49 x 73.5 cm / 19 3/8"" x 28 7/8""; [3] 73.5 x 55 cm / 28 7/8"" x 21 5/8""; [4] 73 x 53.5 cm / 28 3/4"" x 21 1/8""; [5] 37.5 x 109.5 cm / 14 3/4"" x 43 1/8""; frame: [1] 61.5 x 79 cm / 24 1/4"" x 31 1/8""; [2] 55 x 80.5 cm / 21 5/8"" x 31 3/4""; [3] 80 x 61.5 cm / 31 1/2"" x 24 1/4""; [4] 79.5 x 60.5 cm / 31 3/8"" x 23 7/8""; [5] 44 x 117 cm / 17 3/8"" x 46 1/8""","work on paper"
2430,624392,"THOMAS, Chris",Untitled,n.d.,photograph,"33 x 41.3 cm / 13"" x 16 1/4""",photograph
2431,624398,"THOMAS, Chris",Untitled,n.d.,photograph,"48.3 x 59.7 cm / 19"" x 23 1/2""",photograph
2432,623856,"THOMAS, Roy Harvey","Medicine Man and His Power",1977,"acrylic on canvas","101 x 101 cm / 39 3/4"" x 39 3/4""",painting
2433,623858,"THOMAS, Roy Harvey","My Dad on Loon Island",1977,"acrylic on canvas","101 x 101 cm / 39 3/4"" x 39 3/4""; frame: 112.4 x 112.4 cm / 44 1/4"" x 44 1/4""",painting
2434,661729,"THOMAS, Roy Harvey",Untitled,"c. 1991","acrylic on canvas","122 x 243 cm / 48"" x 95 5/8""",painting
2435,622607,"THOMSON, George","Summer Clouds",1952,"oil on canvas","50.8 x 61 cm / 20"" x 24""; frame: 62.9 x 73 cm / 24 3/4"" x 28 3/4""",painting
2436,635836,"THORNDYKE,","Untitled [Autumn Forest]",1970,"oil on board","59.7 x 74.9 cm / 23 1/2"" x 29 1/2""",painting
2437,635837,"THORNDYKE,","Untitled [Spring Forest]",n.d.,"oil on board","59.7 x 74.9 cm / 23 1/2"" x 29 1/2""",painting
2438,100352,"THOROGOOD, Darryl","Bon Echo",1989,"acrylic on masonite","60.9 x 121.9 cm / 24"" x 48""",painting
2439,100469,"TIEU, Robin","Urban Archaeology",2008,ceramics,"45 x 45 x 5.7 cm / 17 3/4"" x 17 3/4"" x 2 1/4""",ceramic
2440,637487,"TINKL, Judith",Untitled,n.d.,textile,"295 x 210 cm / 116 1/8"" x 82 5/8""",textile
2441,625697,"TINKL, Judith","Untitled [8 panels]",n.d.,textile,"218.4 x 105.4 cm / 86"" x 41 1/2"" each panel",textile
